EPISODE_ID,BEGIN_DATE,END_DATE,GRANIZO,LAT,LLUVIA,LON,NIEVE,RANGE,T. ELECTRICA,TORNADO,VIENTO
95735,2015-05-30 13:05:00,2015-05-30 14:46:00,1.0,0,0,0,0,0,0,0,3
95737,2015-05-11 12:45:00,2015-05-11 13:24:00,1.0,0,0,0,0,0,0,0,0
33431,2009-09-22 13:00:00,2009-09-22 14:30:00,0,0,3,0,0,0,0,0,0
1221127,2006-09-22 17:15:00,2006-09-22 17:15:00,0,0,0,0,0,0,0,0,3
1183579,2005-01-05 10:37:00,2005-01-06 08:21:00,0,0,2,0,0,0,0,0,0
74749,2013-05-16 16:40:00,2013-05-16 17:40:00,0,0,1,0,0,0,0,0,0
44750,2010-09-21 17:09:00,2010-09-21 17:09:00,0,0,0,0,0,0,0,0,3
1189323,2005-05-13 15:10:00,2005-05-13 15:34:00,0,0,0,0,0,0,0,0,3
26844,2009-03-08 18:30:00,2009-03-26 14:15:00,0,0,2,0,0,0,0,0,0
15626,2008-03-18 15:40:00,2008-03-27 07:15:00,0,0,3,0,0,0,0,0,0
71400,2013-01-15 05:00:00,2013-01-25 16:00:00,0,0,2,0,0,0,0,0,0
58491,2011-12-05 07:00:00,2011-12-06 14:00:00,0,0,2,0,0,0,0,0,0
39636,2010-06-12 20:40:00,2010-06-12 21:20:00,0,0,0,0,0,0,0,0,3
87382,2014-07-07 18:00:00,2014-07-07 20:00:00,0,0,3,0,0,0,0,0,3
96994,2015-06-30 13:15:00,2015-06-30 17:54:00,1.0,0,0,0,0,0,0,0,0
96990,2015-06-21 18:30:00,2015-06-21 18:50:00,0,0,0,0,0,0,0,0,3
96991,2015-06-25 04:30:00,2015-06-25 11:00:00,0.75,0,3,0,0,0,0,0,3
48582,2011-02-27 22:08:00,2011-02-28 04:10:00,1.0,0,0,0,0,0,0,2,3
96993,2015-06-26 11:10:00,2015-06-27 02:00:00,0,0,3,0,0,0,0,0,0
83893,2014-05-14 07:46:00,2014-05-14 09:00:00,0,0,3,0,0,0,0,0,0
37223,2010-03-25 19:14:00,2010-03-25 19:14:00,0,0,0,0,0,0,0,0,3
37730,2010-05-07 16:27:00,2010-05-07 17:31:00,1.75,0,0,0,0,0,0,0,3
40927,2010-06-06 18:02:00,2010-06-06 18:02:00,0,0,0,0,0,0,0,1,0
1133,2006-12-31 19:39:00,2006-12-31 19:50:00,0,0,0,0,0,0,0,0,3
15953,2008-05-30 17:15:00,2008-05-30 23:05:00,0,0,0,0,0,0,0,2,3
50213,2011-04-19 19:34:00,2011-04-19 20:30:00,0,0,0,0,0,0,0,0,3
106474,2016-05-29 16:00:00,2016-05-29 17:00:00,1.0,0,0,0,0,0,0,0,0
59566,2011-12-04 15:00:00,2011-12-06 09:00:00,0,0,2,0,0,0,0,0,0
14567,2008-03-19 08:00:00,2008-03-31 23:59:00,0,0,2,0,0,0,0,0,0
66306,2012-09-05 14:26:00,2012-09-05 15:20:00,0,0,2,0,0,0,0,0,3
58763,2011-11-27 11:00:00,2011-11-30 23:59:00,0,0,2,0,0,0,0,0,0
86329,2014-06-18 17:40:00,2014-06-18 17:53:00,0,0,0,0,0,0,0,0,3
40322,2010-05-05 20:45:00,2010-05-05 20:47:00,0.75,0,0,0,0,0,0,0,0
1208069,2006-04-14 01:30:00,2006-04-14 22:21:00,2.75,0,3,0,0,0,0,1,3
18741,2008-06-09 14:23:00,2008-06-09 17:41:00,0,0,0,0,0,0,0,0,3
47811,2011-02-24 14:00:00,2011-02-24 21:30:00,0,0,1,0,0,0,0,0,0
1208066,2006-04-16 15:15:00,2006-04-17 23:00:00,0.88,0,3,0,0,0,0,0,0
