,DAY,DRUNK_DR,FATALS,HOUR,LATITUDE,LONGITUD,MINUTE,MONTH,STATE,YEAR
10071,30.0,0.0,1.0,16.0,40.4393,-84.98874444,26.0,4.0,18.0,2011.0
10072,30.0,1.0,1.0,21.0,41.65973333,-86.19648056,45.0,4.0,18.0,2011.0
10073,21.0,0.0,1.0,12.0,38.55625833,-86.09673056,16.0,4.0,18.0,2011.0
10074,5.0,1.0,1.0,3.0,41.44928889,-87.05171667,40.0,5.0,18.0,2011.0
10075,5.0,0.0,1.0,0.0,39.77800278,-86.36279444,14.0,5.0,18.0,2011.0
10076,3.0,0.0,1.0,9.0,41.34018333,-87.02635278,26.0,5.0,18.0,2011.0
10077,3.0,0.0,1.0,15.0,41.56963056,-87.37927778,57.0,5.0,18.0,2011.0
10078,4.0,0.0,1.0,6.0,40.01768889,-86.84383333,50.0,5.0,18.0,2011.0
10079,17.0,1.0,1.0,21.0,41.21617778,-85.17138056,20.0,4.0,18.0,2011.0
10080,3.0,1.0,1.0,20.0,38.06465,-86.2395,0.0,5.0,18.0,2011.0
10081,8.0,1.0,1.0,21.0,38.58668611,-85.647525,0.0,5.0,18.0,2011.0
10082,2.0,0.0,1.0,0.0,39.05838056,-85.17953889,15.0,5.0,18.0,2011.0
10083,8.0,0.0,1.0,18.0,41.02771667,-85.11649167,8.0,5.0,18.0,2011.0
10084,7.0,0.0,1.0,23.0,39.75042222,-86.21623889,46.0,5.0,18.0,2011.0
10085,5.0,0.0,1.0,8.0,40.57888889,-86.01342222,45.0,5.0,18.0,2011.0
10086,8.0,0.0,1.0,15.0,41.61395,-86.25402778,35.0,5.0,18.0,2011.0
10087,11.0,0.0,1.0,15.0,40.1792,-86.61852778,11.0,5.0,18.0,2011.0
10088,6.0,0.0,2.0,17.0,39.41395,-87.34472778,32.0,5.0,18.0,2011.0
10089,12.0,0.0,2.0,11.0,41.46041667,-86.19255,49.0,5.0,18.0,2011.0
10090,13.0,0.0,1.0,14.0,38.93070556,-86.59655556,56.0,5.0,18.0,2011.0
10091,14.0,1.0,1.0,18.0,40.99991667,-84.80904444,46.0,5.0,18.0,2011.0
10092,4.0,0.0,2.0,11.0,40.86810833,-85.8876,38.0,5.0,18.0,2011.0
10093,13.0,0.0,1.0,22.0,40.80239167,-84.83357222,29.0,5.0,18.0,2011.0
10094,16.0,0.0,1.0,21.0,41.58856944,-85.82820278,34.0,5.0,18.0,2011.0
10095,14.0,1.0,1.0,8.0,41.74932222,-86.50516944,55.0,5.0,18.0,2011.0
10096,14.0,1.0,1.0,2.0,39.85465556,-86.12201111,55.0,5.0,18.0,2011.0
10097,17.0,0.0,1.0,13.0,39.640925,-86.28829444,19.0,5.0,18.0,2011.0
10098,18.0,0.0,1.0,11.0,41.73977778,-85.87115833,54.0,5.0,18.0,2011.0
10099,18.0,0.0,1.0,17.0,38.87573333,-86.28194444,59.0,5.0,18.0,2011.0
10100,16.0,0.0,1.0,20.0,39.92438889,-86.22710833,18.0,5.0,18.0,2011.0
10101,20.0,1.0,1.0,3.0,40.11175556,-85.95428333,58.0,5.0,18.0,2011.0
10102,16.0,0.0,1.0,14.0,41.44365833,-86.03425833,13.0,5.0,18.0,2011.0
10103,22.0,1.0,1.0,18.0,41.60870556,-86.03153333,50.0,5.0,18.0,2011.0
10104,4.0,1.0,1.0,3.0,39.80568056,-86.09400556,3.0,5.0,18.0,2011.0
10105,16.0,1.0,2.0,1.0,39.82412778,-87.23646667,17.0,5.0,18.0,2011.0
10106,13.0,0.0,1.0,17.0,38.42784167,-86.72581667,21.0,5.0,18.0,2011.0
10107,23.0,0.0,1.0,7.0,40.42725,-86.13671667,19.0,5.0,18.0,2011.0
10108,25.0,1.0,1.0,3.0,40.48898333,-86.38429722,57.0,5.0,18.0,2011.0
10109,8.0,0.0,2.0,12.0,41.72653611,-85.60903056,30.0,5.0,18.0,2011.0
10110,24.0,0.0,1.0,12.0,41.58423333,-87.18342222,11.0,5.0,18.0,2011.0
10111,22.0,0.0,1.0,8.0,39.42445833,-85.75095278,55.0,5.0,18.0,2011.0
10112,22.0,0.0,1.0,2.0,38.15311944,-86.88468889,30.0,5.0,18.0,2011.0
10113,24.0,1.0,1.0,23.0,39.69850278,-85.63246389,38.0,5.0,18.0,2011.0
10114,22.0,1.0,1.0,4.0,40.26264722,-85.33181111,28.0,5.0,18.0,2011.0
10115,13.0,0.0,1.0,21.0,39.04226944,-85.69333889,32.0,5.0,18.0,2011.0
10116,26.0,0.0,1.0,19.0,38.282525,-85.94175278,50.0,5.0,18.0,2011.0
10117,27.0,1.0,1.0,23.0,41.47086944,-87.27401667,15.0,5.0,18.0,2011.0
10118,27.0,0.0,1.0,18.0,38.10204167,-87.64618056,53.0,5.0,18.0,2011.0
10119,28.0,1.0,1.0,1.0,41.62994167,-86.11899444,0.0,5.0,18.0,2011.0
10120,29.0,1.0,1.0,6.0,41.59666944,-87.46138611,41.0,5.0,18.0,2011.0
10121,15.0,0.0,1.0,0.0,40.11119722,-85.65746111,5.0,5.0,18.0,2011.0
10122,30.0,0.0,1.0,0.0,39.62499444,-85.10121389,30.0,5.0,18.0,2011.0
10123,31.0,0.0,1.0,18.0,40.74646111,-86.37721389,0.0,5.0,18.0,2011.0
10124,19.0,0.0,1.0,15.0,40.21571667,-85.44299167,45.0,5.0,18.0,2011.0
10125,1.0,0.0,1.0,16.0,41.68823333,-86.83864167,22.0,6.0,18.0,2011.0
10126,3.0,1.0,1.0,1.0,40.83049444,-85.09280833,55.0,6.0,18.0,2011.0
10127,31.0,0.0,1.0,10.0,40.3587,-87.010025,41.0,5.0,18.0,2011.0
10128,30.0,0.0,1.0,11.0,39.64140833,-86.014725,32.0,5.0,18.0,2011.0
10129,1.0,0.0,1.0,11.0,39.49768333,-85.57868889,15.0,6.0,18.0,2011.0
10130,1.0,0.0,1.0,4.0,39.80748056,-86.27889722,39.0,6.0,18.0,2011.0
10131,2.0,1.0,1.0,14.0,41.02646944,-86.02372222,40.0,6.0,18.0,2011.0
10132,4.0,1.0,1.0,3.0,41.53306111,-86.69860833,0.0,6.0,18.0,2011.0
10133,28.0,1.0,1.0,18.0,38.82210556,-85.51701944,13.0,5.0,18.0,2011.0
10134,6.0,0.0,1.0,18.0,39.47535833,-87.35079167,4.0,6.0,18.0,2011.0
10135,1.0,0.0,1.0,14.0,38.48124167,-85.97703056,10.0,6.0,18.0,2011.0
10136,7.0,0.0,1.0,22.0,41.11777222,-85.16610278,45.0,6.0,18.0,2011.0
10137,7.0,1.0,1.0,17.0,37.89409167,-87.60291944,43.0,6.0,18.0,2011.0
10138,7.0,0.0,1.0,17.0,40.44965833,-85.33156111,29.0,6.0,18.0,2011.0
10139,2.0,1.0,1.0,5.0,39.47019167,-85.76369722,8.0,6.0,18.0,2011.0
10140,4.0,0.0,1.0,20.0,40.09553333,-85.61851944,3.0,6.0,18.0,2011.0
10141,7.0,0.0,1.0,23.0,39.31775278,-85.94883056,48.0,6.0,18.0,2011.0
10142,5.0,0.0,1.0,22.0,39.82373611,-86.25693333,39.0,6.0,18.0,2011.0
10143,7.0,1.0,1.0,23.0,37.96196389,-87.54782778,25.0,6.0,18.0,2011.0
10144,8.0,0.0,1.0,15.0,40.16536389,-87.44852222,58.0,6.0,18.0,2011.0
10145,11.0,0.0,1.0,15.0,41.18618333,-85.93765833,50.0,6.0,18.0,2011.0
10146,7.0,0.0,1.0,17.0,39.55750556,-85.66219722,40.0,6.0,18.0,2011.0
10147,18.0,0.0,1.0,11.0,37.94303333,-87.8508,56.0,5.0,18.0,2011.0
10148,8.0,1.0,1.0,22.0,41.39203889,-87.325,24.0,6.0,18.0,2011.0
10149,14.0,0.0,1.0,7.0,41.03258889,-85.25515,45.0,6.0,18.0,2011.0
10150,16.0,0.0,1.0,10.0,41.21743611,-87.199,8.0,6.0,18.0,2011.0
10151,17.0,0.0,1.0,7.0,40.52058611,-86.11745,48.0,6.0,18.0,2011.0
10152,17.0,1.0,2.0,12.0,40.00033333,-86.089725,9.0,6.0,18.0,2011.0
10153,18.0,1.0,1.0,15.0,40.31572778,-87.00871389,40.0,6.0,18.0,2011.0
10154,9.0,0.0,1.0,9.0,39.48221667,-86.06425556,6.0,6.0,18.0,2011.0
10155,19.0,0.0,1.0,4.0,39.63794167,-86.33980833,49.0,6.0,18.0,2011.0
10156,14.0,1.0,1.0,3.0,40.74073889,-85.95550833,49.0,5.0,18.0,2011.0
10157,18.0,0.0,1.0,8.0,41.75232778,-86.70006667,19.0,6.0,18.0,2011.0
10158,17.0,0.0,1.0,11.0,39.82631944,-85.99024722,55.0,6.0,18.0,2011.0
10159,17.0,0.0,1.0,14.0,39.91971111,-86.12793611,40.0,6.0,18.0,2011.0
10160,20.0,0.0,1.0,19.0,39.82471667,-85.99991944,58.0,6.0,18.0,2011.0
10161,21.0,0.0,1.0,12.0,41.20450278,-85.705275,50.0,6.0,18.0,2011.0
10162,21.0,1.0,1.0,19.0,41.18420833,-85.19691389,55.0,6.0,18.0,2011.0
10163,18.0,0.0,1.0,12.0,39.07154444,-86.853575,0.0,6.0,18.0,2011.0
10164,17.0,0.0,1.0,12.0,39.86979167,-84.90864167,58.0,6.0,18.0,2011.0
10165,21.0,0.0,1.0,19.0,40.473525,-86.88443056,21.0,6.0,18.0,2011.0
10166,21.0,0.0,1.0,20.0,38.68203889,-87.5125,0.0,6.0,18.0,2011.0
10167,23.0,1.0,1.0,10.0,39.15162778,-86.39004722,50.0,6.0,18.0,2011.0
10168,21.0,1.0,1.0,13.0,41.34666111,-87.02699722,40.0,6.0,18.0,2011.0
10169,24.0,0.0,1.0,2.0,39.75731944,-86.22143333,30.0,6.0,18.0,2011.0
10170,22.0,1.0,2.0,17.0,40.32331667,-85.26806944,53.0,6.0,18.0,2011.0
10171,27.0,0.0,1.0,4.0,40.13885833,-85.86296111,20.0,6.0,18.0,2011.0
10172,9.0,0.0,1.0,12.0,39.85731111,-85.983725,16.0,6.0,18.0,2011.0
10173,26.0,1.0,1.0,14.0,41.57943333,-86.262675,4.0,6.0,18.0,2011.0
10174,25.0,0.0,1.0,4.0,38.31715278,-86.12552222,41.0,5.0,18.0,2011.0
10175,21.0,0.0,1.0,16.0,38.79535278,-84.89208611,40.0,6.0,18.0,2011.0
10176,14.0,0.0,2.0,5.0,38.53087778,-86.02543889,55.0,6.0,18.0,2011.0
10177,23.0,0.0,1.0,14.0,40.66782222,-85.50655833,20.0,6.0,18.0,2011.0
10178,25.0,1.0,1.0,13.0,38.28754444,-85.77318056,7.0,6.0,18.0,2011.0
10179,27.0,1.0,2.0,3.0,39.74204167,-86.13770556,4.0,6.0,18.0,2011.0
10180,28.0,1.0,1.0,4.0,39.72955,-87.33085833,46.0,6.0,18.0,2011.0
10181,30.0,0.0,1.0,5.0,40.12117222,-86.51608889,55.0,6.0,18.0,2011.0
