EVENT_ID,BEGIN_DATE_TIME,BEGIN_LAT,BEGIN_LON,DAMAGE_CROPS,DAMAGE_PROPERTY,DEATHS_DIRECT,DEATHS_INDIRECT,END_DATE_TIME,END_LAT,END_LON,EPISODE_ID,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,MAGNITUDE,RANGE,TOR_F_SCALE
5480464,2005-11-15 04:00:00,38.03,-87.85,0,0,0,0,2005-11-15 09:45:00,38.03,-87.85,1201572,Flash Flood,0,0,0.0,2.17697331186,
5480465,2005-11-15 04:00:00,38.0,-87.0,0,0,0,0,2005-11-15 09:45:00,38.0,-87.0,1201572,Flash Flood,0,0,0.0,2.17697331186,
627075,2016-05-07 19:20:00,38.48,-87.1532,0,50000,0,0,2016-05-07 19:24:00,38.4704,-87.0741,104686,Tornado,0,0,0.0,1.4644994,EF1
627077,2016-05-07 18:07:00,38.1,-87.58,0,10000,0,0,2016-05-07 18:10:00,38.0005,-87.524,104686,Thunderstorm Wind,0,0,65.0,1.6862761328,
627078,2016-05-07 18:21:00,37.95,-87.42,0,3000,0,0,2016-05-07 18:28:00,37.95,-87.42,104686,Thunderstorm Wind,0,0,61.0,1.6862761328,
627079,2016-05-07 17:58:00,38.35,-87.57,0,0,0,0,2016-05-07 17:58:00,38.35,-87.57,104686,Thunderstorm Wind,0,0,52.0,1.6862761328,
627081,2016-05-07 19:20:00,38.5409,-87.2277,0,10000,0,0,2016-05-07 19:30:00,38.5,-87.28,104686,Thunderstorm Wind,0,0,54.0,6.43736,
627083,2016-05-07 17:54:00,37.9424,-87.8903,0,0,0,0,2016-05-07 17:54:00,37.9424,-87.8903,104686,Thunderstorm Wind,0,0,50.0,1.60934,
5474691,2005-09-19 18:55:00,39.92,-85.17,0,3000,0,0,2005-09-19 18:59:00,39.92,-85.17,1198908,Thunderstorm Wind,0,0,50.0,1.6862761328,
343589,2011-09-03 15:17:00,41.6538,-87.0869,0,0,0,0,2011-09-03 15:17:00,41.6538,-87.0869,57233,Thunderstorm Wind,0,0,52.0,0.7081096,
343601,2011-09-03 14:44:00,41.48,-87.33,0,1000,0,0,2011-09-03 14:46:00,41.42,-87.37,57233,Thunderstorm Wind,0,0,52.0,1.6862761328,
5531084,2006-09-22 16:35:00,38.1,-86.63,0,0,0,0,2006-09-22 16:35:00,38.1,-86.63,1220789,Thunderstorm Wind,0,0,50.0,1.6862761328,
5531085,2006-09-22 19:05:00,37.95,-86.77,0,0,0,0,2006-09-22 19:05:00,37.95,-86.77,1220789,Thunderstorm Wind,0,0,50.0,1.6862761328,
5531086,2006-09-22 19:30:00,38.025000000000006,-86.699999999999989,0,0,0,0,2006-09-22 20:30:00,38.025000000000006,-86.699999999999989,1220789,Flash Flood,0,0,0.0,2.17697331186,
5531165,2006-09-22 20:00:00,38.025000000000006,-86.699999999999989,0,0,0,0,2006-09-22 20:30:00,38.025000000000006,-86.699999999999989,1220789,Flash Flood,0,0,0.0,2.17697331186,
5531166,2006-09-22 20:45:00,38.025000000000006,-86.699999999999989,0,0,0,0,2006-09-23 01:00:00,38.025000000000006,-86.699999999999989,1220789,Flash Flood,0,0,0.0,2.17697331186,
5531167,2006-09-22 21:01:00,38.025000000000006,-86.699999999999989,0,0,0,0,2006-09-23 01:15:00,38.025000000000006,-86.699999999999989,1220789,Flash Flood,0,0,0.0,2.17697331186,
5531168,2006-09-22 22:23:00,38.025000000000006,-86.699999999999989,0,100000,0,0,2006-09-23 01:15:00,38.025000000000006,-86.699999999999989,1220789,Flash Flood,0,0,0.0,2.17697331186,
70394,2007-12-29 10:00:00,40.472,-86.8878,0,500,0,0,2007-12-31 23:59:00,40.4699,-86.8787,12786,Flood,0,0,0.0,2.5427572,
