,Unnamed: 0,DRUNK_DR,FATALS,LATITUDE,LONGITUD,STATE,DATE
573,13500,1.0,1.0,38.23168611,-86.25290278,18.0,2001-09-14
577,13504,1.0,1.0,38.04161111,-87.38763611,18.0,2001-09-14
578,13505,0.0,1.0,39.82019444,-85.83838889,18.0,2001-09-15
579,13506,0.0,1.0,39.87219444,-85.42756667,18.0,2001-09-15
582,13509,0.0,1.0,39.91736667,-85.42068889,18.0,2001-09-16
584,13511,0.0,1.0,39.66954444,-86.09501667,18.0,2001-09-16
585,13512,0.0,1.0,39.74958333,-86.288925,18.0,2001-09-17
586,13513,0.0,1.0,38.30608056,-87.11796944,18.0,2001-09-17
588,13515,1.0,1.0,39.41808333,-87.38947222,18.0,2001-09-20
589,13516,0.0,1.0,39.20325278,-85.92143333,18.0,2001-09-21
590,13517,0.0,3.0,39.10656944,-84.84974722,18.0,2001-09-21
591,13518,1.0,1.0,38.25367222,-86.92341111,18.0,2001-09-21
592,13519,0.0,1.0,38.84662222,-86.49473889,18.0,2001-09-21
595,13522,0.0,1.0,39.51379444,-86.47538611,18.0,2001-09-22
597,13524,0.0,1.0,38.70886667,-85.771275,18.0,2001-09-22
599,13526,0.0,1.0,39.75934722,-86.43325556,18.0,2001-09-24
600,13527,0.0,1.0,39.85500833,-86.08676389,18.0,2001-09-24
602,13529,0.0,1.0,39.62301389,-85.506275,18.0,2001-09-25
603,13530,0.0,1.0,39.97044167,-86.38213333,18.0,2001-09-27
606,13533,0.0,1.0,38.76108611,-87.40317222,18.0,2001-09-28
607,13534,0.0,1.0,39.67090833,-86.19625,18.0,2001-09-28
610,13537,0.0,1.0,39.77426389,-86.11923889,18.0,2001-09-29
613,13540,0.0,1.0,39.77085833,-86.12819722,18.0,2001-09-30
615,13542,0.0,1.0,39.82335833,-85.505625,18.0,2001-10-01
618,13545,0.0,2.0,39.41468889,-87.12671389,18.0,2001-10-04
619,13546,1.0,1.0,39.84495278,-86.26100278,18.0,2001-10-05
620,13547,0.0,1.0,38.13315,-87.90493056,18.0,2001-10-05
623,13550,1.0,1.0,39.87815278,-86.13237778,18.0,2001-10-07
624,13551,3.0,1.0,39.660775,-85.0106,18.0,2001-10-07
626,13553,0.0,1.0,38.31003333,-86.87061667,18.0,2001-10-11
628,13555,0.0,1.0,38.13523889,-86.04589444,18.0,2001-10-12
631,13558,0.0,1.0,39.21697778,-85.95500556,18.0,2001-10-13
632,13559,0.0,1.0,39.395675,-84.82216667,18.0,2001-10-13
633,13560,1.0,1.0,38.96163056,-86.70035278,18.0,2001-10-13
635,13562,1.0,1.0,39.71761389,-86.12073333,18.0,2001-10-13
636,13563,2.0,1.0,39.71495833,-87.5217,18.0,2001-10-13
638,13565,0.0,1.0,39.58648056,-86.10071944,18.0,2001-10-15
639,13566,0.0,2.0,39.91150833,-86.10466667,18.0,2001-10-15
640,13567,0.0,1.0,38.90975556,-86.54509444,18.0,2001-10-17
641,13568,0.0,3.0,39.84036667,-86.08380556,18.0,2001-10-17
642,13569,0.0,2.0,38.92638056,-86.50705833,18.0,2001-10-18
643,13570,0.0,1.0,39.74819167,-86.381775,18.0,2001-10-19
645,13572,0.0,1.0,39.77911111,-86.10220278,18.0,2001-10-19
646,13573,0.0,1.0,38.24106667,-87.39993611,18.0,2001-10-20
647,13574,1.0,1.0,38.20371944,-86.06225833,18.0,2001-10-20
649,13576,0.0,1.0,38.87027778,-86.51971944,18.0,2001-10-20
650,13577,1.0,1.0,39.63663611,-86.07371111,18.0,2001-10-20
654,13581,0.0,1.0,38.05438611,-87.18566389,18.0,2001-10-21
655,13582,0.0,1.0,38.91221389,-85.54496389,18.0,2001-10-22
659,13586,0.0,1.0,39.85504444,-86.09648611,18.0,2001-10-23
665,13592,1.0,1.0,39.94616111,-85.76693889,18.0,2001-10-30
669,13596,0.0,1.0,39.79697222,-85.99035556,18.0,2001-11-02
670,13597,0.0,1.0,38.51009444,-86.90563056,18.0,2001-11-02
673,13600,0.0,1.0,39.78854722,-86.10714722,18.0,2001-11-03
674,13601,0.0,1.0,39.29078333,-86.99011389,18.0,2001-11-03
677,13604,0.0,1.0,39.75120556,-86.03301667,18.0,2001-11-04
680,13607,0.0,1.0,38.95912778,-85.83473056,18.0,2001-11-06
681,13608,0.0,1.0,38.34419167,-87.301275,18.0,2001-11-06
682,13609,0.0,1.0,38.12652778,-87.85445833,18.0,2001-11-08
683,13610,1.0,1.0,39.13961389,-86.960625,18.0,2001-11-09
684,13611,2.0,1.0,38.09968333,-86.16080278,18.0,2001-11-09
686,13613,0.0,1.0,39.75158333,-85.08156667,18.0,2001-11-09
688,13615,2.0,1.0,38.33921111,-86.22519722,18.0,2001-11-10
690,13617,1.0,1.0,38.54021944,-86.433975,18.0,2001-11-10
692,13619,3.0,1.0,39.20876944,-85.95656944,18.0,2001-11-11
694,13621,1.0,1.0,39.79098889,-85.85882778,18.0,2001-11-11
695,13622,0.0,1.0,38.94370556,-85.88073611,18.0,2001-11-12
697,13624,1.0,1.0,39.12360556,-85.96706944,18.0,2001-11-13
698,13625,0.0,1.0,38.84871389,-86.49426111,18.0,2001-11-13
701,13628,0.0,1.0,37.90156389,-87.10709444,18.0,2001-11-15
704,13631,0.0,1.0,39.52077778,-85.12406111,18.0,2001-11-16
705,13632,0.0,1.0,39.93666111,-85.84339722,18.0,2001-11-16
708,13635,0.0,1.0,39.30828611,-85.96426667,18.0,2001-11-17
709,13636,1.0,1.0,38.47066944,-85.95243889,18.0,2001-11-17
711,13638,1.0,1.0,39.52055,-86.07555278,18.0,2001-11-17
713,13640,0.0,1.0,39.84196667,-85.55695,18.0,2001-11-17
720,13647,1.0,1.0,39.28196667,-86.69988611,18.0,2001-11-21
721,13648,1.0,1.0,39.56761667,-86.88850833,18.0,2001-11-21
722,13649,1.0,1.0,38.01519167,-86.79289722,18.0,2001-11-21
725,13652,0.0,1.0,38.84504167,-86.00272778,18.0,2001-11-24
729,13656,2.0,1.0,39.61515,-87.39878056,18.0,2001-11-24
730,13657,0.0,1.0,39.85643889,-84.92095833,18.0,2001-11-24
735,13662,0.0,2.0,39.31663056,-85.34296111,18.0,2001-11-26
736,13663,0.0,1.0,38.46185278,-87.10665278,18.0,2001-11-26
737,13664,0.0,2.0,38.40611667,-87.59569722,18.0,2001-11-28
739,13666,0.0,1.0,39.80529167,-86.08348889,18.0,2001-11-30
740,13667,0.0,1.0,39.65944167,-86.43289722,18.0,2001-12-01
747,13674,0.0,1.0,38.289475,-85.92397222,18.0,2001-12-05
749,13676,0.0,1.0,39.77453333,-86.19114167,18.0,2001-12-06
750,13677,0.0,1.0,38.98877778,-86.537575,18.0,2001-12-08
751,13678,1.0,1.0,39.12222778,-86.61443889,18.0,2001-12-08
754,13681,1.0,1.0,39.795825,-86.11253611,18.0,2001-12-09
755,13682,0.0,1.0,39.67516111,-87.42203056,18.0,2001-12-09
759,13686,0.0,1.0,38.64419444,-87.17573611,18.0,2001-12-11
765,13692,0.0,1.0,39.58458333,-85.82243889,18.0,2001-12-13
769,13696,0.0,1.0,38.38429444,-85.77042222,18.0,2001-12-16
770,13697,0.0,1.0,38.98731667,-85.8914,18.0,2001-12-16
774,13701,0.0,1.0,39.37974167,-85.94321667,18.0,2001-12-20
778,13705,0.0,1.0,39.75955556,-86.14431667,18.0,2001-12-21
779,13706,1.0,1.0,39.63734722,-87.25868056,18.0,2001-12-21
782,13709,0.0,1.0,38.72666667,-87.46241944,18.0,2001-12-22
783,13710,0.0,2.0,39.83050556,-86.12181944,18.0,2001-12-22
784,13711,0.0,2.0,39.80451667,-86.07410278,18.0,2001-12-22
790,13717,0.0,1.0,39.73841667,-86.0707,18.0,2001-12-24
794,13721,0.0,1.0,39.61935833,-86.20904444,18.0,2001-11-08
799,13726,2.0,1.0,39.86361389,-86.27444167,18.0,2001-12-25
800,13727,0.0,1.0,39.46575556,-87.48539167,18.0,2001-12-26
801,13728,0.0,1.0,38.36785,-85.84345278,18.0,2001-12-27
802,13729,0.0,1.0,38.89666111,-85.81526944,18.0,2001-10-26
803,13730,0.0,1.0,38.68766944,-86.40183056,18.0,2001-11-23
804,13731,0.0,1.0,39.85500833,-86.08678333,18.0,2001-12-11
808,13735,1.0,1.0,38.383275,-85.76739444,18.0,2001-12-28
