EVENT_ID,EPISODE_ID,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,MAGNITUDE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
527167,87359,Hail,2014-06-17 19:06:00,2014-06-17 19:07:00,0,0,0,0,0,0,0.88,41.53,-86.43,41.53,-86.43
529606,87366,Thunderstorm Wind,2014-06-18 21:57:00,2014-06-18 21:58:00,0,0,0,0,0,0,50.0,40.76,-86.52,40.76,-86.52
529736,87366,Thunderstorm Wind,2014-06-18 13:53:00,2014-06-18 13:54:00,0,0,0,0,0,0,50.0,41.24,-85.85,41.24,-85.85
529738,87366,Thunderstorm Wind,2014-06-18 14:02:00,2014-06-18 14:03:00,0,0,0,0,0,0,50.0,41.41,-85.85,41.41,-85.85
538261,87819,Thunderstorm Wind,2014-07-01 00:56:00,2014-07-01 00:57:00,0,0,0,0,0,0,65.0,41.63,-85.0,41.63,-85.0
538262,87819,Thunderstorm Wind,2014-07-01 00:30:00,2014-07-01 00:31:00,0,0,0,0,0,0,65.0,41.0856,-85.47,41.0856,-85.47
533730,88497,Hail,2014-07-27 14:20:00,2014-07-27 14:21:00,0,0,0,0,0,0,1.25,41.6,-86.27,41.6,-86.27
536926,88250,Hail,2014-07-27 10:10:00,2014-07-27 10:12:00,0,0,0,0,0,0,0.88,40.34,-85.35,40.34,-85.35
536924,88250,Thunderstorm Wind,2014-07-27 04:00:00,2014-07-27 04:00:00,0,0,0,0,7000,0,61.0,39.66,-87.41,39.66,-87.41
536927,88250,Hail,2014-07-27 10:20:00,2014-07-27 10:22:00,0,0,0,0,0,0,1.0,40.3,-85.23,40.3,-85.23
533749,88497,Thunderstorm Wind,2014-07-27 14:50:00,2014-07-27 14:51:00,0,0,0,0,0,0,55.0,41.34,-85.5,41.34,-85.5
536868,88247,Thunderstorm Wind,2014-07-08 08:28:00,2014-07-08 08:28:00,0,0,0,0,8000,0,61.0,39.9284,-86.0781,39.9284,-86.0781
536876,88248,Thunderstorm Wind,2014-07-14 14:12:00,2014-07-14 14:12:00,0,0,0,0,0,0,52.0,40.18,-87.44,40.18,-87.44
536879,88248,Thunderstorm Wind,2014-07-14 14:27:00,2014-07-14 14:27:00,0,0,0,0,0,0,52.0,40.13,-87.23,40.13,-87.23
536887,88248,Thunderstorm Wind,2014-07-14 15:12:00,2014-07-14 15:12:00,0,0,0,0,2000,0,42.0,39.64,-86.84,39.64,-86.84
537850,87819,Thunderstorm Wind,2014-07-01 00:15:00,2014-07-01 00:16:00,0,0,0,0,0,0,57.0,41.63,-85.08,41.63,-85.08
536908,88248,Thunderstorm Wind,2014-07-14 16:10:00,2014-07-14 16:10:00,0,0,0,0,500,0,52.0,39.95,-86.02,39.95,-86.02
536909,88248,Thunderstorm Wind,2014-07-14 16:02:00,2014-07-14 16:02:00,0,0,0,0,0,0,52.0,39.95,-86.14,39.95,-86.14
536914,88252,Flood,2014-07-23 08:45:00,2014-07-23 10:30:00,0,0,0,0,500,500,0.0,39.7271,-86.3806,39.7271,-86.3811
536915,88249,Hail,2014-07-26 06:05:00,2014-07-26 06:07:00,0,0,0,0,0,0,1.0,40.14,-87.39,40.14,-87.39
536918,88249,Hail,2014-07-26 07:25:00,2014-07-26 07:27:00,0,0,0,0,0,0,1.0,39.7325,-86.8216,39.7325,-86.8216
536919,88249,Hail,2014-07-26 09:00:00,2014-07-26 09:02:00,0,0,0,0,0,0,1.0,39.19,-86.16,39.19,-86.16
538257,87819,Thunderstorm Wind,2014-07-01 00:52:00,2014-07-01 00:53:00,0,0,0,0,0,0,65.0,41.08,-85.13,41.08,-85.13
530753,87529,Flash Flood,2014-06-19 14:10:00,2014-06-19 16:00:00,0,0,0,0,1000,500,0.0,40.0196,-85.1831,40.0195,-85.1813
530535,87529,Thunderstorm Wind,2014-06-19 14:45:00,2014-06-19 14:45:00,0,0,0,0,18000,0,65.0,40.06,-85.62,40.06,-85.62
530754,87529,Flash Flood,2014-06-19 15:33:00,2014-06-19 17:00:00,0,0,0,0,1000,500,0.0,40.0608,-85.2491,40.0611,-85.2482
529914,87816,Thunderstorm Wind,2014-06-30 19:30:00,2014-06-30 19:31:00,0,0,0,0,0,0,60.0,41.71,-86.9,41.71,-86.9
